__quarterly__,y,ny,cpi,r,e,yw,rw,cpiw,tna,l,le,ln,bk,rwa,car,bg,rbk,new_rl,rd,car_min,rrw_bkw,yw_tnd,yw_gap,rrw_tnd,py,re,rr_bkw,y_tnd,y_gap,rr_tnd,re_tnd,re_gap,riskw,a,ona,lp,l_to_4ny,l_to_4ny_tnd,ln_to_l,ln_to_l_tnd,a_to_ln,a_to_ln_tnd,aa,bg_to_bk,bg_to_bk_tnd,roc_y,roc_ny,roc_cpi,roc_cpiw,roc_l,roc_py,roc_re,roc_y_tnd,roc_re_tnd,apct_y,apct_ny,apct_cpi,apct_cpiw,apct_l,apct_py,apct_re,apct_y_tnd,apct_re_tnd,x,prem_gap,fwy_bubble,,__eof__
1995Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.43421709245,0.27926328046,0.273650264924,0.0165650393,0.05830802035,NaN,NaN,NaN,0.0339246662058901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00561301553599997,0.160566827526,0.26269824116,NaN,NaN,0.0593169258511689,0.0679690959731256,0.338847100471411,0.314882501811608,0.0179621973314,NaN,NaN,NaN,NaN,NaN,NaN,1.09025005964981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.2877393811246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1995Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45905982891,0.30113609209,0.2948199566116,0.01727467807,0.063682899,NaN,NaN,NaN,0.0329303575674217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00631613547839999,0.1642398722984,0.28386141402,NaN,NaN,0.0573650204135516,0.0696437586890784,0.36562970683482,0.319133696948043,0.0191280616923,NaN,NaN,NaN,NaN,NaN,NaN,1.0783232639607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.2059797212973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1996Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.48617299895,0.32006457269,0.3128577156931,0.02056830179,0.06616150043,NaN,NaN,NaN,0.0346329197132448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00720685699689999,0.1733152832569,0.2994962709,NaN,NaN,0.0642629754900163,0.0714997281577161,0.350386583709301,0.323382545108847,0.0212355866415,NaN,NaN,NaN,NaN,NaN,NaN,1.06285689791824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6142527491199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1996Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50733720689,0.33763183201,0.3297676938213,0.02227805865,0.07163749088,NaN,NaN,NaN,0.0282352163323004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00786413818870002,0.1775695130687,0.31535377336,NaN,NaN,0.0659832887123634,0.0735230226701672,0.352999258698873,0.327675427332039,0.0226392773269,NaN,NaN,NaN,NaN,NaN,NaN,1.05488660982487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.8292146741418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1996Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.53717292082,0.35545977219,0.3467442275126,0.02541305448,0.07730166765,NaN,NaN,NaN,0.0289197030667164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00871554467740004,0.1904286933074,0.33004671771,NaN,NaN,0.0714934754035015,0.0756972482666714,0.342955416251091,0.332067726001836,0.0246377432244,NaN,NaN,NaN,NaN,NaN,NaN,1.05280290094055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.8537144470305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1996Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.57848094664,0.37722623759,0.3681503393118,0.02534861764,0.08403060738,NaN,NaN,NaN,0.0325834243065541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00907589827819999,0.2103306073282,0.35187761995,NaN,NaN,0.067197387440348,0.0780034977428155,0.358043125155601,0.336623264779579,0.025481982736,NaN,NaN,NaN,NaN,NaN,NaN,1.06123467999176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.8369339611941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1997Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.60030201098,0.39554748466,0.3855141257842,0.03019384652,0.08768261998,NaN,NaN,NaN,0.0342932481737643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0100333588758,0.2147878851958,0.36535363814,NaN,NaN,0.0763343155776952,0.0804214626365652,0.33229813462667,0.341409496556689,0.0282013764596,NaN,NaN,NaN,NaN,NaN,NaN,1.04856832649566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.8890432210397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1997Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.63640133835,0.42136036498,0.4108971340702,0.03045617223,0.09399766516,NaN,NaN,NaN,0.0353158754725392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0104632309098,0.2255042042798,0.39090419275,NaN,NaN,0.0722805815669103,0.0829272324491189,0.343550424878852,0.34650101417805,0.0293414452135,NaN,NaN,NaN,NaN,NaN,NaN,1.06525861324131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.771637291744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1997Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.67765260699,0.45038444071,0.4389489659605,0.032713382,0.09764798374,NaN,NaN,NaN,0.0336762443682997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0114354747495,0.2387036410295,0.41767105871,NaN,NaN,0.0726343519958851,0.085495534299322,0.349565653269968,0.3519693733679,0.0314278642484,NaN,NaN,NaN,NaN,NaN,NaN,1.0688818364095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.5325398841274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1997Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.73510326503,0.48415991518,0.4728737209652,0.03191768347,0.10178222605,NaN,NaN,NaN,0.0294002659514441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0112861942148,0.2622295440648,0.45224223171,NaN,NaN,0.0659238455503564,0.0880975464223923,0.353603175036438,0.357885146320709,0.0324526468299,NaN,NaN,NaN,NaN,NaN,NaN,1.0749925428524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.543208504595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1998Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77097325815,0.50926261186,0.4966812729945,0.03918115395,0.10479650238,NaN,NaN,NaN,0.0244380979263365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0125813388655,0.2742919851555,0.47008145791,NaN,NaN,0.076937032166758,0.0907001599927799,0.321106899545515,0.364318103990918,0.0364347775939,NaN,NaN,NaN,NaN,NaN,NaN,1.05184794505482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.4085775661946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1998Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.79334618538,0.52962471607,0.5162197200848,0.04304994051,0.10560204119,NaN,NaN,NaN,0.01698249382579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0134049959852,0.2771264652952,0.48657477556,NaN,NaN,0.0812838585582742,0.0932628749513109,0.311382450855794,0.371336590009203,0.0388354642519,NaN,NaN,NaN,NaN,NaN,NaN,1.03998350504395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.9784343436731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1998Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81652703653,0.54619112112,0.5308449795318,0.04909676473,0.10369861882,NaN,NaN,NaN,0.00883016864563481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0153461415882,0.2856820569982,0.49709435639,NaN,NaN,0.0898893497743499,0.095740603529536,0.312569304160747,0.378994544271428,0.0419773183841,NaN,NaN,NaN,NaN,NaN,NaN,1.03127951650922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.1111888773582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1998Q4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.79612778699,0.5356727513,0.5135717062666,0.05687783704,0.08660349339,NaN,NaN,NaN,-0.0391055336503441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0221010450334,0.2825560807234,0.47879491426,NaN,NaN,0.106180194721433,0.0980842649535415,0.38857042010682,0.387325921960403,0.0447468232384,NaN,NaN,NaN,NaN,NaN,NaN,0.980742327340599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.48339728089378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1999Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78721626524,0.53032053275,0.5071175417214,0.0724902305,0.08570775323,NaN,NaN,NaN,-0.0554766428159699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0232029910286,0.2800987235186,0.45783030225,NaN,NaN,0.13669135178323,0.100242828031495,0.320084387489981,0.396342536512238,0.050933815815,NaN,NaN,NaN,NaN,NaN,NaN,0.990008417383541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.93713200680146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1999Q2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77877366948,0.52194460435,0.4973345982675,0.06693433774,0.0847662119,NaN,NaN,NaN,-0.0702114758533878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0246100060825,0.2814390712125,0.45501026661,NaN,NaN,0.128240309761141,0.102167960214822,0.367673856400809,0.406056616195754,0.0483208626474,NaN,NaN,NaN,NaN,NaN,NaN,0.984205913437735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.169532454002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
1999Q3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.80796369583,0.52300108468,0.5003579220298,0.06964011802,0.09958265913,NaN,NaN,NaN,-0.0706159637775883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0226431626501999,0.3076057738002,0.45336096666,NaN,NaN,0.133154825219167,0.103823478462862,0.325145380191588,0.416454969896769,0.0494724917754,NaN,NaN,NaN,NaN,NaN,NaN,1.00202412348206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.812110957220402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,__eof__
